Código,Cidade,DRS
350010,ADAMANTINA,DRS 9
350020,ADOLFO,DRS 15
350030,AGUAI,DRS 14
350040,AGUAS DA PRATA,DRS 14
350050,AGUAS DE LINDOIA,DRS 7
350055,AGUAS DE SANTA BARBARA,DRS 6
350060,AGUAS DE SAO PEDRO,DRS 10
350070,AGUDOS,DRS 6
350075,ALAMBARI,DRS 16
350080,ALFREDO MARCONDES,DRS 11
350090,ALTAIR,DRS 5
350100,ALTINOPOLIS,DRS 13
350110,ALTO ALEGRE,DRS 2
350115,ALUMINIO,DRS 16
350120,ALVARES FLORENCE,DRS 15
350130,ALVARES MACHADO,DRS 11
350140,ALVARO DE CARVALHO,DRS 9
350150,ALVINLANDIA,DRS 9
350160,AMERICANA,DRS 7
350170,AMERICO BRASILIENSE,DRS 3
350180,AMERICO DE CAMPOS,DRS 15
350190,AMPARO,DRS 7
350200,ANALANDIA,DRS 10
350210,ANDRADINA,DRS 2
350220,ANGATUBA,DRS 16
350230,ANHEMBI,DRS 6
350240,ANHUMAS,DRS 11
350250,APARECIDA,DRS 17
350260,APARECIDA D'OESTE,DRS 15
350270,APIAI,DRS 16
350275,ARACARIGUAMA,DRS 16
350280,ARACATUBA,DRS 2
350290,ARACOIABA DA SERRA,DRS 16
350300,ARAMINA,DRS 8
350310,ARANDU,DRS 6
350315,ARAPEI,DRS 17
350320,ARARAQUARA,DRS 3
350330,ARARAS,DRS 10
350335,ARCO-IRIS,DRS 9
350340,AREALVA,DRS 6
350350,AREIAS,DRS 17
350360,AREIOPOLIS,DRS 6
350370,ARIRANHA,DRS 15
350380,ARTUR NOGUEIRA,DRS 7
350390,ARUJA,DRS 1
350395,ASPASIA,DRS 15
350400,ASSIS,DRS 9
350410,ATIBAIA,DRS 7
350420,AURIFLAMA,DRS 2
350430,AVAI,DRS 6
350440,AVANHANDAVA,DRS 2
350450,AVARE,DRS 6
350460,BADY BASSITT,DRS 15
350470,BALBINOS,DRS 6
350480,BALSAMO,DRS 15
350490,BANANAL,DRS 17
350500,BARAO DE ANTONINA,DRS 6
350510,BARBOSA,DRS 2
350520,BARIRI,DRS 6
350530,BARRA BONITA,DRS 6
350535,BARRA DO CHAPEU,DRS 16
350540,BARRA DO TURVO,DRS 12
350550,BARRETOS,DRS 5
350560,BARRINHA,DRS 13
350570,BARUERI,DRS 1
350580,BASTOS,DRS 9
350590,BATATAIS,DRS 13
350600,BAURU,DRS 6
350610,BEBEDOURO,DRS 5
350620,BENTO DE ABREU,DRS 2
350630,BERNARDINO DE CAMPOS,DRS 9
350635,BERTIOGA,DRS 4
350640,BILAC,DRS 2
350650,BIRIGUI,DRS 2
350660,BIRITIBA-MIRIM,DRS 1
350670,BOA ESPERANCA DO SUL,DRS 3
350680,BOCAINA,DRS 6
350690,BOFETE,DRS 6
350700,BOITUVA,DRS 16
