Codigo;Fem - 50 a 69;% Fem - 50 a 69;Total;DRS
350010;4930;27,33%;1348;DRS 9
350020;504;28,05%;142;DRS 15
350030;3680;20,41%;752;DRS 14
350040;1165;27,99%;327;DRS 14
350050;2397;24,84%;596;DRS 7
350055;745;23,91%;179;DRS 6
350060;565;30,12%;171;DRS 10
350070;4146;21,95%;911;DRS 6
350075;585;18,91%;111;DRS 16
350080;559;27,51%;154;DRS 11
350090;340;17,58%;60;DRS 5
350100;1909;23,54%;450;DRS 13
350110;511;25,82%;132;DRS 2
350115;1782;19,18%;342;DRS 16
350120;538;30,50%;165;DRS 15
350130;3096;24,36%;755;DRS 11
350140;395;20,94%;83;DRS 9
350150;328;19,72%;65;DRS 9
350160;30106;24,20%;7286;DRS 7
350170;3806;18,35%;699;DRS 3
350180;775;26,26%;204;DRS 15
350190;8956;24,09%;2158;DRS 7
350200;545;21,95%;120;DRS 10
350210;7362;25,50%;1878;DRS 2
350220;2678;21,03%;564;DRS 16
350230;676;20,41%;138;DRS 6
350240;486;22,80%;111;DRS 11
350250;4562;24,14%;1102;DRS 17
350260;615;29,40%;181;DRS 15
350270;2552;21,23%;542;DRS 16
350275;1914;16,74%;321;DRS 16
350280;25783;25,10%;6472;DRS 2
350290;4007;22,71%;910;DRS 16
350300;682;23,97%;164;DRS 8
350310;733;23,10%;170;DRS 6
350315;265;22,03%;59;DRS 17
350320;29405;23,62%;6946;DRS 3
350330;15918;22,92%;3649;DRS 10
350335;230;25,70%;60;DRS 9
350340;1110;26,23%;292;DRS 6
350350;400;20,26%;82;DRS 17
350360;982;18,37%;181;DRS 6
350370;1003;20,90%;210;DRS 15
350380;5674;20,30%;1152;DRS 7
350390;9815;20,89%;2051;DRS 1
350395;257;28,09%;73;DRS 15
350400;13020;24,23%;3155;DRS 9
350410;17342;23,35%;4050;DRS 7
350420;1874;24,66%;463;DRS 2
350430;603;21,73%;132;DRS 6
350440;1106;19,81%;220;DRS 2
350450;10445;22,58%;2359;DRS 6
350460;2094;22,92%;480;DRS 15
350470;76;24,13%;19;DRS 6
350480;1206;25,50%;308;DRS 15
350490;1259;22,62%;285;DRS 17
350500;373;21,76%;82;DRS 6
350510;838;22,83%;192;DRS 2
350520;4027;22,68%;914;DRS 6
350530;4874;26,07%;1271;DRS 6
350535;500;18,26%;92;DRS 16
350540;730;19,99%;146;DRS 12
350550;14869;23,31%;3466;DRS 5
350560;2694;16,13%;435;DRS 13
350570;28766;19,87%;5716;DRS 1
350580;2625;24,61%;647;DRS 9
350590;7341;22,77%;1672;DRS 13
350600;46063;23,40%;10779;DRS 6
350610;9613;24,02%;2310;DRS 5
350620;297;20,09%;60;DRS 2
350630;1345;23,63%;318;DRS 9
350635;6051;17,90%;1084;DRS 4
350640;1036;25,42%;264;DRS 2
350650;15352;23,86%;3663;DRS 2
350660;3324;20,21%;672;DRS 1
350670;1531;20,44%;313;DRS 3
350680;1262;20,17%;255;DRS 6
350690;1517;25,17%;382;DRS 6
350700;5974;19,09%;1141;DRS 16
350710;2550;19,58%;500;DRS 7
350715;317;16,08%;51;DRS 16
350720;80;19,90%;16;DRS 9
350730;485;19,91%;97;DRS 6
350740;1874;23,50%;441;DRS 3
350745;302;21,60%;66;DRS 6
350750;16897;21,99%;3716;DRS 6
350760;19660;22,47%;4418;DRS 7
350770;584;20,70%;121;DRS 2
350775;304;21,64%;66;DRS 2
350780;2788;21,46%;599;DRS 13
350790;2646;21,04%;557;DRS 6
350800;1853;18,65%;346;DRS 16
350810;2076;24,35%;506;DRS 2
350820;525;23,99%;126;DRS 8
350830;458;22,45%;103;DRS 6
350840;4592;18,09%;831;DRS 7
350850;10671;22,16%;2365;DRS 17
