Codigo,Cidade,Fem - 50 a 69,% Fem - 50 a 69,Total,DRS,Mamografos
350060,AGUAS DE SAO PEDRO,565,"30,12%",171,DRS 10,0
350200,ANALANDIA,545,"21,95%",120,DRS 10,0
350330,ARARAS,15918,"22,92%",3649,DRS 10,6
351040,CAPIVARI,5615,"20,05%",1126,DRS 10,5
351170,CHARQUEADA,1654,"19,64%",325,DRS 10,10
351220,CONCHAL,2678,"19,21%",515,DRS 10,0
351240,CORDEIROPOLIS,2495,"20,24%",505,DRS 10,3
351270,CORUMBATAI,467,"23,21%",109,DRS 10,5
351490,ELIAS FAUSTO,1839,"21,33%",393,DRS 10,10
351515,ENGENHEIRO COELHO,1472,"14,39%",212,DRS 10,7
352110,IPEUNA,660,"17,63%",117,DRS 10,5
352140,IRACEMAPOLIS,2578,"20,68%",534,DRS 10,2
352360,ITIRAPINA,1555,"21,29%",332,DRS 10,4
352670,LEME,10702,"20,41%",2185,DRS 10,5
352690,LIMEIRA,36726,"23,21%",8525,DRS 10,2
353090,MOMBUCA,367,"21,19%",78,DRS 10,10
353870,PIRACICABA,46615,"22,24%",10368,DRS 10,6
353930,PIRASSUNUNGA,9382,"23,82%",2235,DRS 10,10
354210,RAFARD,989,"21,26%",211,DRS 10,7
354390,RIO CLARO,24153,"22,54%",5445,DRS 10,8
354400,RIO DAS PEDRAS,3282,"18,40%",604,DRS 10,2
354515,SALTINHO,978,"22,84%",224,DRS 10,6
354620,SANTA CRUZ DA CONCEICAO,580,"24,77%",144,DRS 10,7
354670,SANTA GERTRUDES,2149,"15,71%",338,DRS 10,8
354700,SANTA MARIA DA SERRA,596,"19,04%",114,DRS 10,2
355040,SAO PEDRO,4493,"24,16%",1086,DRS 10,2
