Código,Município,Estado,Fem - 50 a 69,% Fem - 50 a 69,Total,DRS
350010,ADAMANTINA,SP,4930,"27,33%",1348,DRS 9
350020,ADOLFO,SP,504,"28,05%",142,DRS 15
350030,AGUAI,SP,3680,"20,41%",752,DRS 14
350040,AGUAS DA PRATA,SP,1165,"27,99%",327,DRS 14
350050,AGUAS DE LINDOIA,SP,2397,"24,84%",596,DRS 7
350055,AGUAS DE SANTA BARBARA,SP,745,"23,91%",179,DRS 6
350060,AGUAS DE SAO PEDRO,SP,565,"30,12%",171,DRS 10
350070,AGUDOS,SP,4146,"21,95%",911,DRS 6
350075,ALAMBARI,SP,585,"18,91%",111,DRS 16
350080,ALFREDO MARCONDES,SP,559,"27,51%",154,DRS 11
350090,ALTAIR,SP,340,"17,58%",60,DRS 5
350100,ALTINOPOLIS,SP,1909,"23,54%",450,DRS 13
350110,ALTO ALEGRE,SP,511,"25,82%",132,DRS 2
350115,ALUMINIO,SP,1782,"19,18%",342,DRS 16
350120,ALVARES FLORENCE,SP,538,"30,50%",165,DRS 15
350130,ALVARES MACHADO,SP,3096,"24,36%",755,DRS 11
350140,ALVARO DE CARVALHO,SP,395,"20,94%",83,DRS 9
350150,ALVINLANDIA,SP,328,"19,72%",65,DRS 9
350160,AMERICANA,SP,30106,"24,20%",7286,DRS 7
350170,AMERICO BRASILIENSE,SP,3806,"18,35%",699,DRS 3
350180,AMERICO DE CAMPOS,SP,775,"26,26%",204,DRS 15
350190,AMPARO,SP,8956,"24,09%",2158,DRS 7
350200,ANALANDIA,SP,545,"21,95%",120,DRS 10
350210,ANDRADINA,SP,7362,"25,50%",1878,DRS 2
350220,ANGATUBA,SP,2678,"21,03%",564,DRS 16
350230,ANHEMBI,SP,676,"20,41%",138,DRS 6
350240,ANHUMAS,SP,486,"22,80%",111,DRS 11
350250,APARECIDA,SP,4562,"24,14%",1102,DRS 17
350260,APARECIDA D'OESTE,SP,615,"29,40%",181,DRS 15
350270,APIAI,SP,2552,"21,23%",542,DRS 16
350275,ARACARIGUAMA,SP,1914,"16,74%",321,DRS 16
350280,ARACATUBA,SP,25783,"25,10%",6472,DRS 2
350290,ARACOIABA DA SERRA,SP,4007,"22,71%",910,DRS 16
350300,ARAMINA,SP,682,"23,97%",164,DRS 8
350310,ARANDU,SP,733,"23,10%",170,DRS 6
350315,ARAPEI,SP,265,"22,03%",59,DRS 17
350320,ARARAQUARA,SP,29405,"23,62%",6946,DRS 3
350330,ARARAS,SP,15918,"22,92%",3649,DRS 10
350335,ARCO-IRIS,SP,230,"25,70%",60,DRS 9
350340,AREALVA,SP,1110,"26,23%",292,DRS 6
350350,AREIAS,SP,400,"20,26%",82,DRS 17
350360,AREIOPOLIS,SP,982,"18,37%",181,DRS 6
350370,ARIRANHA,SP,1003,"20,90%",210,DRS 15
350380,ARTUR NOGUEIRA,SP,5674,"20,30%",1152,DRS 7
350390,ARUJA,SP,9815,"20,89%",2051,DRS 1
350395,ASPASIA,SP,257,"28,09%",73,DRS 15
350400,ASSIS,SP,13020,"24,23%",3155,DRS 9
350410,ATIBAIA,SP,17342,"23,35%",4050,DRS 7
350420,AURIFLAMA,SP,1874,"24,66%",463,DRS 2
350430,AVAI,SP,603,"21,73%",132,DRS 6
350440,AVANHANDAVA,SP,1106,"19,81%",220,DRS 2
350450,AVARE,SP,10445,"22,58%",2359,DRS 6
350460,BADY BASSITT,SP,2094,"22,92%",480,DRS 15
350470,BALBINOS,SP,76,"24,13%",19,DRS 6
350480,BALSAMO,SP,1206,"25,50%",308,DRS 15
350490,BANANAL,SP,1259,"22,62%",285,DRS 17
350500,BARAO DE ANTONINA,SP,373,"21,76%",82,DRS 6
350510,BARBOSA,SP,838,"22,83%",192,DRS 2
350520,BARIRI,SP,4027,"22,68%",914,DRS 6
350530,BARRA BONITA,SP,4874,"26,07%",1271,DRS 6
350535,BARRA DO CHAPEU,SP,500,"18,26%",92,DRS 16
350540,BARRA DO TURVO,SP,730,"19,99%",146,DRS 12
350550,BARRETOS,SP,14869,"23,31%",3466,DRS 5
350560,BARRINHA,SP,2694,"16,13%",435,DRS 13
350570,BARUERI,SP,28766,"19,87%",5716,DRS 1
350580,BASTOS,SP,2625,"24,61%",647,DRS 9
350590,BATATAIS,SP,7341,"22,77%",1672,DRS 13
350600,BAURU,SP,46063,"23,40%",10779,DRS 6
350610,BEBEDOURO,SP,9613,"24,02%",2310,DRS 5
350620,BENTO DE ABREU,SP,297,"20,09%",60,DRS 2
350630,BERNARDINO DE CAMPOS,SP,1345,"23,63%",318,DRS 9
350635,BERTIOGA,SP,6051,"17,90%",1084,DRS 4
350640,BILAC,SP,1036,"25,42%",264,DRS 2
350650,BIRIGUI,SP,15352,"23,86%",3663,DRS 2
350660,BIRITIBA-MIRIM,SP,3324,"20,21%",672,DRS 1
350670,BOA ESPERANCA DO SUL,SP,1531,"20,44%",313,DRS 3
350680,BOCAINA,SP,1262,"20,17%",255,DRS 6
350690,BOFETE,SP,1517,"25,17%",382,DRS 6
350700,BOITUVA,SP,5974,"19,09%",1141,DRS 16
350710,BOM JESUS DOS PERDOES,SP,2550,"19,58%",500,DRS 7
