Código,Município,Estado,Total,% Fem - 50 a 69,DRS,Mamografos
350010,ADAMANTINA,SP,4930,"27,33%",DRS 9,3
350020,ADOLFO,SP,504,"28,05%",DRS 15,0
350030,AGUAI,SP,3680,"20,41%",DRS 14,6
350040,AGUAS DA PRATA,SP,1165,"27,99%",DRS 14,4
350050,AGUAS DE LINDOIA,SP,2397,"24,84%",DRS 7,0
350055,AGUAS DE SANTA BARBARA,SP,745,"23,91%",DRS 6,6
350060,AGUAS DE SAO PEDRO,SP,565,"30,12%",DRS 10,8
350070,AGUDOS,SP,4146,"21,95%",DRS 6,4
350075,ALAMBARI,SP,585,"18,91%",DRS 16,0
350080,ALFREDO MARCONDES,SP,559,"27,51%",DRS 11,2
350090,ALTAIR,SP,340,"17,58%",DRS 5,0
350100,ALTINOPOLIS,SP,1909,"23,54%",DRS 13,1
350110,ALTO ALEGRE,SP,511,"25,82%",DRS 2,3
350115,ALUMINIO,SP,1782,"19,18%",DRS 16,9
350120,ALVARES FLORENCE,SP,538,"30,50%",DRS 15,5
350130,ALVARES MACHADO,SP,3096,"24,36%",DRS 11,8
350140,ALVARO DE CARVALHO,SP,395,"20,94%",DRS 9,3
350150,ALVINLANDIA,SP,328,"19,72%",DRS 9,10
350160,AMERICANA,SP,30106,"24,20%",DRS 7,1
350170,AMERICO BRASILIENSE,SP,3806,"18,35%",DRS 3,4
350180,AMERICO DE CAMPOS,SP,775,"26,26%",DRS 15,1
350190,AMPARO,SP,8956,"24,09%",DRS 7,10
350200,ANALANDIA,SP,545,"21,95%",DRS 10,7
350210,ANDRADINA,SP,7362,"25,50%",DRS 2,3
350220,ANGATUBA,SP,2678,"21,03%",DRS 16,8
350230,ANHEMBI,SP,676,"20,41%",DRS 6,7
350240,ANHUMAS,SP,486,"22,80%",DRS 11,4
350250,APARECIDA,SP,4562,"24,14%",DRS 17,6
350260,APARECIDA D'OESTE,SP,615,"29,40%",DRS 15,2
350270,APIAI,SP,2552,"21,23%",DRS 16,3
350275,ARACARIGUAMA,SP,1914,"16,74%",DRS 16,9
350280,ARACATUBA,SP,25783,"25,10%",DRS 2,2
350290,ARACOIABA DA SERRA,SP,4007,"22,71%",DRS 16,4
350300,ARAMINA,SP,682,"23,97%",DRS 8,8
350310,ARANDU,SP,733,"23,10%",DRS 6,1
350315,ARAPEI,SP,265,"22,03%",DRS 17,8
350320,ARARAQUARA,SP,29405,"23,62%",DRS 3,9
350330,ARARAS,SP,15918,"22,92%",DRS 10,10
350335,ARCO-IRIS,SP,230,"25,70%",DRS 9,3
350340,AREALVA,SP,1110,"26,23%",DRS 6,5
350350,AREIAS,SP,400,"20,26%",DRS 17,10
350360,AREIOPOLIS,SP,982,"18,37%",DRS 6,1
350370,ARIRANHA,SP,1003,"20,90%",DRS 15,0
350380,ARTUR NOGUEIRA,SP,5674,"20,30%",DRS 7,1
350390,ARUJA,SP,9815,"20,89%",DRS 1,6
350395,ASPASIA,SP,257,"28,09%",DRS 15,9
350400,ASSIS,SP,13020,"24,23%",DRS 9,3
350410,ATIBAIA,SP,17342,"23,35%",DRS 7,6
350420,AURIFLAMA,SP,1874,"24,66%",DRS 2,9
350430,AVAI,SP,603,"21,73%",DRS 6,8
350440,AVANHANDAVA,SP,1106,"19,81%",DRS 2,7
350450,AVARE,SP,10445,"22,58%",DRS 6,10
350460,BADY BASSITT,SP,2094,"22,92%",DRS 15,0
350470,BALBINOS,SP,76,"24,13%",DRS 6,9
350480,BALSAMO,SP,1206,"25,50%",DRS 15,7
350490,BANANAL,SP,1259,"22,62%",DRS 17,3
350500,BARAO DE ANTONINA,SP,373,"21,76%",DRS 6,3
350510,BARBOSA,SP,838,"22,83%",DRS 2,10
350520,BARIRI,SP,4027,"22,68%",DRS 6,2
350530,BARRA BONITA,SP,4874,"26,07%",DRS 6,7
350535,BARRA DO CHAPEU,SP,500,"18,26%",DRS 16,1
350540,BARRA DO TURVO,SP,730,"19,99%",DRS 12,3
350550,BARRETOS,SP,14869,"23,31%",DRS 5,7
350560,BARRINHA,SP,2694,"16,13%",DRS 13,7
350570,BARUERI,SP,28766,"19,87%",DRS 1,1
350580,BASTOS,SP,2625,"24,61%",DRS 9,5
350590,BATATAIS,SP,7341,"22,77%",DRS 13,10
350600,BAURU,SP,46063,"23,40%",DRS 6,0
350610,BEBEDOURO,SP,9613,"24,02%",DRS 5,1
350620,BENTO DE ABREU,SP,297,"20,09%",DRS 2,5
350630,BERNARDINO DE CAMPOS,SP,1345,"23,63%",DRS 9,9
350635,BERTIOGA,SP,6051,"17,90%",DRS 4,9
350640,BILAC,SP,1036,"25,42%",DRS 2,10
350650,BIRIGUI,SP,15352,"23,86%",DRS 2,7
350660,BIRITIBA-MIRIM,SP,3324,"20,21%",DRS 1,7
350670,BOA ESPERANCA DO SUL,SP,1531,"20,44%",DRS 3,8
350680,BOCAINA,SP,1262,"20,17%",DRS 6,4
350690,BOFETE,SP,1517,"25,17%",DRS 6,10
350700,BOITUVA,SP,5974,"19,09%",DRS 16,3
350710,BOM JESUS DOS PERDOES,SP,2550,"19,58%",DRS 7,4
350715,BOM SUCESSO DE ITARARE,SP,317,"16,08%",DRS 16,7
350720,BORA,SP,80,"19,90%",DRS 9,4
350730,BORACEIA,SP,485,"19,91%",DRS 6,0
350740,BORBOREMA,SP,1874,"23,50%",DRS 3,10
350745,BOREBI,SP,302,"21,60%",DRS 6,3
350750,BOTUCATU,SP,16897,"21,99%",DRS 6,3
350760,BRAGANCA PAULISTA,SP,19660,"22,47%",DRS 7,5
350770,BRAUNA,SP,584,"20,70%",DRS 2,1
350775,BREJO ALEGRE,SP,304,"21,64%",DRS 2,8
350780,BRODOWSKI,SP,2788,"21,46%",DRS 13,10
350790,BROTAS,SP,2646,"21,04%",DRS 6,10
350800,BURI,SP,1853,"18,65%",DRS 16,9
350810,BURITAMA,SP,2076,"24,35%",DRS 2,1
350820,BURITIZAL,SP,525,"23,99%",DRS 8,3
350830,CABRALIA PAULISTA,SP,458,"22,45%",DRS 6,0
