"","AGUAS DE SAO PEDRO, SP","ANALANDIA, SP","ARARAS, SP","CAPIVARI, SP","CHARQUEADA, SP","CONCHAL, SP","CORDEIROPOLIS, SP","CORUMBATAI, SP","ELIAS FAUSTO, SP","ENGENHEIRO COELHO, SP","IPEUNA, SP","IRACEMAPOLIS, SP","ITIRAPINA, SP","LEME, SP","LIMEIRA, SP","MOMBUCA, SP","PIRACICABA, SP","PIRASSUNUNGA, SP","RAFARD, SP","RIO CLARO, SP","RIO DAS PEDRAS, SP","SALTINHO, SP","SANTA CRUZ DA CONCEICAO, SP","SANTA GERTRUDES, SP","SANTA MARIA DA SERRA, SP","SAO PEDRO, SP"
"AGUAS DE SAO PEDRO, SP","","56.603720362328","57.272604058908","58.476294091572","14.331829573861","77.895335620792","45.311792537192","49.241971351037","71.139100983684","69.30434115844","24.57353738812","36.942810593049","38.759118883247","67.825657265027","48.861730923692","48.405021484664","27.023673930583","81.029223388045","57.924193877545","38.61866053147","38.618901518915","33.972412159371","66.978819713368","38.590317636481","29.201682136704","6.3342859081369"
"ANALANDIA, SP","56.603720362328","","38.198886944388","97.827669161892","43.745331570453","55.453109507185","44.030744448989","10.891763237736","105.38635620695","61.204580087333","34.398696275082","52.89376515429","21.463748628155","28.776347666497","54.890272676348","89.191857435253","66.038935792747","28.153400592142","98.976757264091","32.839020766751","79.404699687535","79.271587086386","21.313873302598","38.93500135921","70.551348737082","53.159635568326"
"ARARAS, SP","57.272604058908","38.198886944388","","72.249784541651","43.71126904996","21.837262909532","15.163327137446","29.045359906192","75.834414799759","23.011293343532","35.159082209013","28.872286691653","46.494963327623","18.942484695141","22.726772484042","66.062253106005","49.073158508855","40.002602713387","74.347206585785","19.102971515727","58.606808609072","61.772926149484","25.35653844666","18.989653575169","82.976451651956","58.007362353774"
"CAPIVARI, SP","58.476294091572","97.827669161892","72.249784541651","","61.083267540425","80.823782015357","58.137866039802","87.156970032524","14.230860372507","63.934976514991","66.159548007182","45.757791205433","88.878429028481","90.886659609045","49.654063600071","10.07690650598","33.927019525717","111.21378729174","3.2462848506465","65.592157818881","20.256947738621","24.664898043946","95.584870666541","59.966407428946","82.376591793796","64.736407924414"
"CHARQUEADA, SP","14.331829573861","43.745331570453","43.71126904996","61.083267540425","","64.89353891114","33.169715960904","35.512027973071","72.042925153397","58.031020108928","10.303297793532","28.019675390734","28.729955311719","53.503784416319","38.870372020543","51.260699822914","27.168543187681","67.012560846895","61.292597381836","24.730706437557","40.911857174472","38.502887926686","52.728003406807","25.667615939169","39.806458782646","14.320279854829"
"CONCHAL, SP","77.895335620792","55.453109507185","21.837262909532","80.823782015357","64.89353891114","","32.891854101801","48.33832085612","80.609684240723","17.320139506814","56.837533579934","44.835813065687","67.450318318371","27.948136141949","34.206780721778","76.940424554641","65.150810195429","45.886673686859","83.483932544129","40.704450743664","71.663758878578","76.319152574909","36.572448020615","39.352283827169","104.49681190544","79.207532461085"
"CORDEIROPOLIS, SP","45.311792537192","44.030744448989","15.163327137446","58.137866039802","33.169715960904","32.891854101801","","33.294969432809","63.130426785014","25.06302876209","27.108128552875","13.712001052104","45.092646361049","32.903207016549","10.861799392922","51.366425925046","33.989115262137","53.0904489439","60.030175701007","13.127492325045","43.552737211982","46.609629004578","37.531805066276","8.1626525481038","72.944509949003","47.247722026209"
"CORUMBATAI, SP","49.241971351037","10.891763237736","29.045359906192","87.156970032524","35.512027973071","48.33832085612","33.294969432809","","94.525635866255","51.913204061296","25.498181448099","42.035672283491","20.55496464819","24.561549346908","44.15418018124","78.672544276948","55.880088049071","31.975845592908","88.382670832417","21.95642842058","69.023574696117","69.252282355759","19.748454814896","28.043611952159","66.992719819876","46.713576770098"
"ELIAS FAUSTO, SP","71.139100983684","105.38635620695","75.834414799759","14.230860372507","72.042925153397","80.609684240723","63.130426785014","94.525635866255","","63.294865714144","75.788465577082","52.492697593607","98.736897289905","94.775043000164","53.261014047199","23.398678047706","45.159229390183","115.71128496744","16.562815066038","72.581692706043","32.531636911383","38.027795764073","100.45043192244","66.579553817643","96.118951870028","77.274692391788"
"ENGENHEIRO COELHO, SP","69.30434115844","61.204580087333","23.011293343532","63.934976514991","58.031020108928","17.320139506814","25.06302876209","51.913204061296","63.294865714144","","52.091543090146","33.093046896881","67.982281132242","38.297056879047","21.090799563236","60.720130422911","51.988688765696","58.823568999616","66.693842049238","36.940086201547","56.444118723215","61.768679624682","46.342369675253","33.120120423771","97.633373789522","71.861407902618"
"IPEUNA, SP","24.57353738812","34.398696275082","35.159082209013","66.159548007182","10.303297793532","56.837533579934","27.108128552875","25.498181448099","75.788465577082","52.091543090146","","26.41885011276","22.950980638277","43.4185254277","35.083736132991","56.787101575594","32.756138370585","56.756314532486","66.814540580587","16.135346165918","46.57824328975","45.471336795998","42.428223814566","18.978017904875","47.861446998358","23.591529226472"
"IRACEMAPOLIS, SP","36.942810593049","52.89376515429","28.872286691653","45.757791205433","28.019675390734","44.835813065687","13.712001052104","42.035672283491","52.492697593607","33.093046896881","26.41885011276","","48.465831468149","46.264802260535","12.089718872623","38.249795603753","20.540639999651","65.834906699938","47.359636380022","20.112487164651","29.962247431761","32.907175711906","50.110747930893","14.249037388652","65.948706479061","40.419801866542"
"ITIRAPINA, SP","38.759118883247","21.463748628155","46.494963327623","88.878429028481","28.729955311719","67.450318318371","45.092646361049","20.55496464819","98.736897289905","67.982281132242","22.950980638277","48.465831468149","","45.11446496178","55.024973122793","79.323072236242","55.129895208011","49.461973844305","89.378778688627","31.968722671443","69.015990393284","67.142580501905","39.828738360398","37.483204828072","49.152256373332","34.126146254252"
"LEME, SP","67.825657265027","28.776347666497","18.942484695141","90.886659609045","53.503784416319","27.948136141949","32.903207016549","24.561549346908","94.775043000164","38.297056879047","43.4185254277","46.264802260535","45.11446496178","","41.603334132056","84.267250978031","65.412924912361","21.181699349884","92.871032027251","30.407546180638","76.219060930566","78.642326335941","8.6256529337548","33.608339182933","89.693305330752","66.909072721438"
