Código,Cidade,Estado,Total,% Fem - 50 a 69,DRS,Mamografos
350020,ADOLFO,SP,504,"28,05%",DRS 15,0
350120,ALVARES FLORENCE,SP,538,"30,50%",DRS 15,8
350180,AMERICO DE CAMPOS,SP,775,"26,26%",DRS 15,7
350260,APARECIDA D'OESTE,SP,615,"29,40%",DRS 15,3
350370,ARIRANHA,SP,1003,"20,90%",DRS 15,2
350395,ASPASIA,SP,257,"28,09%",DRS 15,5
350460,BADY BASSITT,SP,2094,"22,92%",DRS 15,9
350480,BALSAMO,SP,1206,"25,50%",DRS 15,8
351070,CARDOSO,SP,1588,"25,72%",DRS 15,6
351110,CATANDUVA,SP,15542,"24,56%",DRS 15,5
351120,CATIGUA,SP,903,"23,33%",DRS 15,7
351130,CEDRAL,SP,1126,"23,87%",DRS 15,9
351290,COSMORAMA,SP,948,"26,74%",DRS 15,8
351385,DIRCE REIS,SP,224,"25,93%",DRS 15,8
351420,DOLCINOPOLIS,SP,282,"27,49%",DRS 15,1
351492,ELISIARIO,SP,351,"20,31%",DRS 15,6
351495,EMBAUBA,SP,281,"24,27%",DRS 15,2
351520,ESTRELA D'OESTE,SP,1036,"24,78%",DRS 15,4
351550,FERNANDOPOLIS,SP,9294,"26,11%",DRS 15,0
351560,FERNANDO PRESTES,SP,696,"23,71%",DRS 15,7
351590,FLOREAL,SP,466,"32,05%",DRS 15,5
351680,GASTAO VIDIGAL,SP,427,"21,08%",DRS 15,3
351690,GENERAL SALGADO,SP,1463,"26,94%",DRS 15,1
351750,GUAPIACU,SP,2443,"22,45%",DRS 15,10
351800,GUARANI D'OESTE,SP,259,"24,39%",DRS 15,6
351940,IBIRA,SP,1398,"22,51%",DRS 15,7
351980,ICEM,SP,825,"20,29%",DRS 15,6
352070,INDIAPORA,SP,556,"27,94%",DRS 15,2
352115,IPIGUA,SP,691,"24,89%",DRS 15,3
352150,IRAPUA,SP,816,"21,78%",DRS 15,2
352190,ITAJOBI,SP,1998,"26,45%",DRS 15,8
352450,JACI,SP,736,"20,40%",DRS 15,3
352480,JALES,SP,6830,"27,10%",DRS 15,3
