,"ARUJA, SP","BARUERI, SP","BIRITIBA-MIRIM, SP","CAIEIRAS, SP","CAJAMAR, SP","CARAPICUIBA, SP","COTIA, SP","DIADEMA, SP","EMBU DAS ARTES, SP","EMBU-GUACU, SP","FERRAZ DE VASCONCELOS, SP","FRANCISCO MORATO, SP","FRANCO DA ROCHA, SP","GUARAREMA, SP","GUARULHOS, SP","ITAPECERICA DA SERRA, SP","ITAPEVI, SP","ITAQUAQUECETUBA, SP","JANDIRA, SP","JUQUITIBA, SP","MAIRIPORA, SP","MAUA, SP","MOGI DAS CRUZES, SP","OSASCO, SP","PIRAPORA DO BOM JESUS, SP","POA, SP","RIBEIRAO PIRES, SP","RIO GRANDE DA SERRA, SP","SALESOPOLIS, SP","SANTA ISABEL, SP","SANTANA DE PARNAIBA, SP","SANTO ANDRE, SP","SAO BERNARDO DO CAMPO, SP","SAO CAETANO DO SUL, SP","SAO LOURENCO DA SERRA, SP","SAO PAULO, SP","SUZANO, SP","TABOAO DA SERRA, SP","VARGEM GRANDE PAULISTA, SP"
"ARUJA, SP",,"58,50999","34,1879","44,196","57,3635","55,27511","65,58491","44,20371","61,44303","70,0745","16,93906","45,50689","42,19315","28,64387","22,88998","64,91226","65,19601","9,427441","61,47646","97,15741","28,83047","33,39777","19,00346","50,73649","70,02319","14,51222","36,45863","39,32903","50,3124","12,56112","61,47651","35,66633","41,93822","35,64345","81,56432","36,5167","16,24144","52,85656","75,39149"
"BARUERI, SP","58,50999",,"85,58071","20,86191","17,17822","3,897854","11,14012","32,20932","15,50671","36,04384","51,72684","28,75435","25,13573","86,35579","35,94466","23,0288","7,196466","53,77873","3,217386","50,70163","36,50066","45,71498","69,84733","8,972868","18,03986","54,34201","52,11662","55,28064","105,2002","69,67616","8,44259","38,90546","39,75694","33,62141","38,54092","25,20376","57,86711","14,96509","17,78087"
"BIRITIBA-MIRIM, SP","34,1879","85,58071",,"75,79729","88,6505","81,8382","89,71504","60,4391","83,34959","84,18586","33,86505","78,71696","74,62655","17,3243","51,00937","84,10048","91,21492","33,40124","88,05736","112,4853","62,33501","44,2851","16,33921","76,78267","100,0948","31,41694","41,35501","41,14281","20,34254","33,64132","90,53967","50,57121","54,23635","54,18231","97,33256","60,54202","27,73746","75,50588","100,2195"
"CAIEIRAS, SP","44,196","20,86191","75,79729",,"13,16816","19,97193","31,72036","37,44923","33,32269","52,2105","43,2476","9,169672","4,281494","72,83879","25,28429","40,44465","27,85758","42,40259","23,9801","71,00275","17,30875","44,49913","59,46102","19,12516","26,22829","44,93564","51,46289","55,24018","93,94266","53,54085","19,36048","39,12854","43,07965","33,69159","57,73276","23,73798","48,88335","27,61344","38,17877"
"CAJAMAR, SP","57,3635","17,17822","88,6505","13,16816",,"18,90154","27,77412","44,53378","32,58945","53,05417","55,6103","15,8195","15,80675","86,00668","37,76403","40,13861","22,1279","55,31548","19,23283","66,83326","29,97463","54,62423","72,3381","21,38854","13,62594","57,52436","61,53078","65,14117","107,0159","66,5716","10,61939","48,52299","51,27552","42,91984","55,52145","32,91708","61,42808","30,07237","30,74635"
"CARAPICUIBA, SP","55,27511","3,897854","81,8382","19,97193","18,90154",,"11,96174","28,47187","14,01681","34,24446","48,00458","28,50621","24,22788","82,91515","32,55557","21,52184","9,925198","50,25765","6,284416","51,03208","34,47743","41,81941","66,17702","5,102638","21,65838","50,66462","48,23545","51,4185","101,5251","66,64759","11,68651","35,01596","35,96866","29,7238","38,05258","21,38077","54,14729","11,66786","20,33293"
"COTIA, SP","65,58491","11,14012","89,71504","31,72036","27,77412","11,96174",,"31,62846","8,423968","27,35057","56,36555","39,86344","36,00003","92,41743","42,69584","14,46275","6,281845","59,66662","8,555462","39,56158","46,37215","47,17064","74,67489","15,20485","24,43304","59,28222","52,79707","55,43484","109,792","77,37542","17,63489","40,27043","39,29632","35,76724","27,77454","29,73535","62,4402","14,30082","10,53971"
"DIADEMA, SP","44,20371","32,20932","60,4391","37,44923","44,53378","28,47187","31,62846",,"23,96121","25,94683","29,83334","46,04559","40,03434","66,47813","25,49677","23,67035","35,18462","35,70282","33,36023","53,70334","40,32192","16,27969","47,03981","24,01989","50,12081","33,06678","21,24193","23,80953","80,77961","56,75131","40,02308","9,94387","7,712416","8,636444","38,09959","14,53436","35,13314","17,89661","41,96265"
"EMBU DAS ARTES, SP","61,44303","15,50671","83,34959","33,32269","32,58945","14,01681","8,423968","23,96121",,"20,541","50,63017","42,20058","37,44963","87,23066","38,82697","7,551389","13,88066","54,70407","14,34105","38,43656","45,63504","39,95199","68,81957","14,38813","31,85352","53,6868","45,20103","47,63932","103,5836","73,63052","23,60849","33,15452","31,49639","29,16934","24,43894","24,93331","56,57035","8,590895","18,13764"
"EMBU-GUACU, SP","70,0745","36,04384","84,18586","52,2105","53,05417","34,24446","27,35057","25,94683","20,541",,"55,62175","61,34754","56,04308","91,9004","49,89531","13,10103","33,57608","61,64936","34,75742","28,33223","61,45463","40,43839","72,14013","33,23991","51,77467","58,85548","42,89627","43,75753","104,3893","82,6341","44,10034","35,37119","30,28603","34,43275","13,30542","36,2639","60,62492","24,60671","33,25555"
