,"ADOLFO, SP","ALVARES FLORENCE, SP","AMERICO DE CAMPOS, SP","APARECIDA D'OESTE, SP","ARIRANHA, SP","ASPASIA, SP","BADY BASSITT, SP","BALSAMO, SP","CARDOSO, SP","CATANDUVA, SP","CATIGUA, SP","CEDRAL, SP","COSMORAMA, SP","DIRCE REIS, SP","DOLCINOPOLIS, SP","ELISIARIO, SP","EMBAUBA, SP","ESTRELA D'OESTE, SP","FERNANDOPOLIS, SP","FERNANDO PRESTES, SP","FLOREAL, SP","GASTAO VIDIGAL, SP","GENERAL SALGADO, SP","GUAPIACU, SP","GUARANI D'OESTE, SP","IBIRA, SP","ICEM, SP","INDIAPORA, SP","IPIGUA, SP","IRAPUA, SP","ITAJOBI, SP","JACI, SP","JALES, SP","JOSE BONIFACIO, SP","MACAUBAL, SP","MACEDONIA, SP","MAGDA, SP","MARAPOAMA, SP","MARINOPOLIS, SP","MENDONCA, SP","MERIDIANO, SP","MESOPOLIS, SP","MIRA ESTRELA, SP","MIRASSOL, SP","MIRASSOLANDIA, SP","MONCOES, SP","MONTE APRAZIVEL, SP","NEVES PAULISTA, SP","NHANDEARA, SP","NIPOA, SP","NOVA ALIANCA, SP","NOVA CANAA PAULISTA, SP","NOVA GRANADA, SP","NOVAIS, SP","NOVO HORIZONTE, SP","ONDA VERDE, SP","ORINDIUVA, SP","OUROESTE, SP","PALESTINA, SP","PALMARES PAULISTA, SP","PALMEIRA D'OESTE, SP","PARAISO, SP","PARANAPUA, SP","PARISI, SP","PAULO DE FARIA, SP","PEDRANOPOLIS, SP","PINDORAMA, SP","PIRANGI, SP","PLANALTO, SP","POLONI, SP","PONTALINDA, SP","PONTES GESTAL, SP","POPULINA, SP","POTIRENDABA, SP","RIOLANDIA, SP","RUBINEIA, SP","SALES, SP","SANTA ADELIA, SP","SANTA ALBERTINA, SP","SANTA CLARA D'OESTE, SP","SANTA FE DO SUL, SP","SANTANA DA PONTE PENSA, SP","SANTA RITA D'OESTE, SP","SANTA SALETE, SP","SAO FRANCISCO, SP","SAO JOAO DAS DUAS PONTES, SP","SAO JOAO DE IRACEMA, SP","SAO JOSE DO RIO PRETO, SP","SEBASTIANOPOLIS DO SUL, SP","TABAPUA, SP","TANABI, SP","TRES FRONTEIRAS, SP","TURMALINA, SP","UBARANA, SP","UCHOA, SP","UNIAO PAULISTA, SP","URANIA, SP","URUPES, SP","VALENTIM GENTIL, SP","VITORIA BRASIL, SP","VOTUPORANGA, SP","ZACARIAS, SP"
"ADOLFO, SP",,"104,9872","104,1979","155,3586","88,804","164,1262","40,46635","55,89164","130,9498","70,79297","64,3056","53,57504","84,80333","131,4488","152,8773","55,86535","88,3975","131,2433","122,9449","99,3694","80,92379","74,84366","98,87889","65,25571","147,5599","45,07948","109,4131","154,4587","69,3538","24,76036","61,25562","39,62183","142,7602","419,1326","57,9817","133,6029","89,14922","53,27442","150,9678","8,865426","111,9762","173,4312","148,1337","48,78622","71,28983","63,51876","52,80857","43,48402","72,74285","38,41485","28,63147","165,0722","84,69111","79,96147","50,62079","78,49228","120,5963","156,3789","96,26702","88,8687","147,5138","93,4038","159,1896","110,0919","135,9329","119,5169","155,717","102,8246","36,9939","53,09678","126,9749","116,6668","170,7533","34,84392","138,9663","183,8665","19,03411","86,99601","174,6499","183,9259","175,3126","161,96","172,8954","154,4824","146,2661","121,0787","108,7544","54,27699","70,20223","70,20383","67,59664","170,7024","157,0417","10,96196","58,36936","46,71959","151,3541","36,7248","101,09","144,4569","95,98982","46,91819"
"ALVARES FLORENCE, SP","104,9872",,"18,19367","102,5069","150,8751","87,44982","81,4858","57,16275","26,58739","132,7503","119,8377","92,66233","22,29576","74,60281","66,86942","125,2445","133,4911","51,33032","35,92076","164,6854","46,54153","60,27525","59,55696","88,61183","52,54482","109,1435","74,32745","54,90712","65,85653","118,1366","140,9417","71,65884","67,18429","507,6572","54,1923","35,57031","48,82223","131,5495","96,36606","101,554","27,8308","84,00635","44,56516","68,81131","56,7727","61,9392","53,18271","64,45263","43,61445","66,92478","88,10975","108,7999","65,95714","127,2703","145,6123","71,43581","60,25435","60,10748","50,32979","142,8897","89,75531","140,8885","74,75813","11,12492","62,167","22,50414","246,9593","155,4448","79,03896","52,19488","65,56621","26,2906","77,91804","97,55039","44,4657","115,1773","120,804","153,6586","91,39287","109,2957","107,1028","93,15375","98,41295","81,94943","82,40958","49,66938","51,02968","77,45588","37,40755","115,7962","43,05385","103,0252","66,3253","95,46744","103,8118","62,81133","77,39989","116,8665","21,71502","61,71819","13,35689","82,37814"
"AMERICO DE CAMPOS, SP","104,1979","18,19367",,"120,7","139,1996","104,7936","74,69891","50,89953","30,47996","121,9924","109,0768","82,6812","20,59062","92,74231","83,5277","116,1388","120,3869","69,23615","53,73608","152,951","59,83147","72,66335","75,86139","76,65346","67,66817","100,7884","56,46912","67,85704","53,80041","113,752","132,4959","67,1112","85,03111","497,0112","61,16823","50,77303","63,89699","123,4256","114,5593","99,37819","46,02443","99,39631","54,733","61,86071","45,14124","71,8526","51,4578","61,18162","54,1381","68,14531","83,25326","126,9625","50,78463","114,8155","139,974","57,30045","42,2527","74,34601","33,2856","130,4705","107,9478","127,7189","91,42099","29,00871","46,04518","39,48466","238,2762","142,3254","83,88733","54,34838","83,72302","13,19742","92,58912","90,8028","35,6111","132,7821","118,0971","142,5302","107,7982","126,47","124,8311","111,0117","115,7729","99,73701","100,5577","67,86096","68,62617","67,92383","44,34366","103,9511","37,21233","120,8319","82,02601","95,8202","93,18634","67,41753","95,16688","110,2598","39,06526","79,03413","28,37014","89,70713"
"APARECIDA D'OESTE, SP","155,3586","102,5069","120,7",,"232,4123","35,87491","157,6525","139,1508","108,9747","212,7189","201,11","175,1773","115,0946","28,71033","52,75353","200,632","220,8548","53,51163","68,41008","245,5063","80,6804","81,48706","58,53594","176,7686","70,35785","184,387","176,1668","80,66718","157,3442","178,4761","212,2002","144,7153","40,09583","574,1051","103,3457","79,27216","71,60019","202,8342","6,142903","158,0154","74,67673","60,1236","93,50436","148,7161","149,0122","92,93015","126,9849","136,8627","91,69656","125,7055","157,0857","9,863615","163,2321","213,0682","205,9162","166,2995","162,5198","72,62381","151,3579","227,456","12,91571","228,001","49,19735","91,97015","161,5881","83,47348","310,9835","241,5749","118,4399","117,0896","37,30168","126,4855","66,63586","169,9746","135,668","33,17711","174,3443","233,1129","48,90402","39,68919","26,91673","23,31931","34,15373","30,24489","21,62879","52,84133","55,5607","161,4566","102,5216","200,7377","129,6186","23,87413","60,95663","144,6855","186,5432","113,2492","33,50829","185,184","82,98816","49,88748","94,8809","109,1389"
"ARIRANHA, SP","88,804","150,8751","139,1996","232,4123",,"231,7185","74,92541","96,27386","169,4828","19,71478","31,71174","58,95187","129,2225","205,1643","214,7303","33,37429","23,24011","194,9536","182,0489","13,81035","151,8653","151,9161","173,8955","62,56998","202,9984","48,39201","102,7774","205,704","85,48316","65,13998","31,1898","87,79288","209,6039","357,9461","129,1521","186,2486","160,9838","36,25259","227,1261","81,89429","170,8996","233,7046","193,7706","85,22482","94,39546","140,8902","106,4468","95,78773","141,0166","107,1645","75,92172","241,4792","90,7912","25,19244","54,60861","82,95095","125,6766","210,8901","110,746","11,35376","222,2817","19,01864","222,2738","160,5886","143,0373","172,2905","104,5355","16,3972","119,4273","115,5198","198,4401","146,2651","228,3726","62,89054","162,672","256,1489","75,60169","6,426683","239,0162","253,3783","247,4551","233,1806","241,9909","223,5731","218,5681","187,5706","178,8743","74,04622","131,5605","35,2508","109,113","242,8674","215,9674","96,2359","47,43168","119,8701","219,5776","52,13079","159,2497","207,7379","149,1512","131,8521"
"ASPASIA, SP","164,1262","87,44982","104,7936","35,87491","231,7185",,"157,3451","135,564","85,56279","212,4296","200,0072","172,8846","105,3351","36,25801","22,80614","202,0618","217,1137","37,14837","51,75557","245,3227","83,49107","89,99274","66,3394","171,8855","41,87206","185,4399","161,2","49,86907","150,3014","184,938","215,5789","144,903","22,14395","582,1716","107,126","55,85102","74,99566","205,9809","32,66672","164,8862","61,90899","24,25441","64,92332","146,4945","141,3452","100,9006","125,5437","136,7546","92,99999","129,3818","159,4798","34,1194","152,8858","210,0258","213,2796","157,5641","143,973","40,9907","137,7408","225,2297","28,69319","224,4778","16,10546","76,33358","139,6387","65,31038","318,6941","238,7169","127,761","117,6662","37,73384","107,1557","31,21222","171,6468","111,237","28,42784","182,9868","233,393","14,09413","21,99256","21,56802","12,7641","10,97929","10,30603","22,46778","44,35907","55,40783","158,0692","100,527","197,9146","123,5706","18,89991","28,83671","153,1643","184,4555","118,2312","12,77293","188,9724","73,08304","25,76363","84,25359","121,4098"
"BADY BASSITT, SP","40,46635","81,4858","74,69891","157,6525","74,92541","157,3451",,"24,35241","104,5004","55,34215","43,45979","18,98892","59,2069","130,2493","141,42","44,9078","64,28638","120,9745","108,961","88,28676","77,00675","78,08529","99,22443","27,11802","131,4495","28,31644","69,13449","135,7806","29,60566","40,23525","59,72158","12,949","135,2012","427,279","54,78051","115,3446","86,11784","50,21374","152,2952","32,28348","97,62442","161,048","126,005","12,8649","33,58552","67,59756","31,80414","20,86239","66,10635","34,05951","11,91967","166,6337","44,64919","56,06793","65,29997","38,07797","82,15553","139,8127","58,55364","69,89053","147,3777","71,09979","148,7405","89,71834","98,4935","100,9636","165,5801","84,14556","51,19931","40,61324","123,5321","85,44237","156,4823","16,16415","106,4617","181,3094","47,20248","76,15299","165,3317","178,8298","172,6088","158,369","167,4442","148,9413","143,6632","113,036","103,9701","13,82415","56,85821","43,84305","38,53499","168,0108","143,4942","38,7258","29,40675","46,61237","145,0374","35,6291","85,88237","134,002","76,89412","64,10565"
"BALSAMO, SP","55,89164","57,16275","50,89953","139,1508","96,27386","135,564","24,35241",,"80,31699","77,25085","64,60639","37,34288","34,87146","110,9455","118,5358","68,43801","82,06617","98,69586","85,88459","109,966","59,18381","63,88364","81,81884","37,64046","107,6822","52,11249","59,11379","111,6374","21,80801","62,87345","83,83782","16,64569","113,4964","451,0699","40,79903","91,35502","67,96787","74,40689","133,5011","49,76838","74,67006","137,7853","101,6593","11,67258","18,06852","55,33093","13,70037","13,32038","48,10628","28,56695","32,38426","147,6694","35,14789","74,64579","89,24878","32,92852","65,69593","115,9216","41,22581","89,69794","128,0941","89,34223","126,032","65,64164","80,27797","77,04837","189,8186","103,3564","49,09179","24,99533","103,5257","62,32643","132,8779","40,48515","84,07092","160,6098","67,77851","98,29456","142,7563","157,329","151,9616","137,608","145,9538","127,6649","123,5062","91,63809","84,0848","22,5853","36,6304","62,43366","14,18735","147,4272","120,1178","49,6016","48,90671","37,20237","123,569","59,90849","62,99104","111,4661","53,24564","60,31527"
"CARDOSO, SP","130,9498","26,58739","30,47996","108,9747","169,4828","85,56279","104,5004","80,31699",,"152,4399","139,5326","113,1505","46,46507","84,00037","62,85033","146,5684","150,2197","55,53726","41,65193","183,2022","70,29926","84,28703","78,33036","107,0045","44,35349","131,0895","80,29214","40,93632","84,21544","142,7192","162,8538","95,93097","69,54872","527,3796","80,6294","30,14366","70,4336","153,7171","102,9877","127,0526","40,64829","74,84807","25,80647","91,63691","75,61556","87,42591","78,49365","89,27255","69,23624","93,20064","112,3261","113,2749","79,95427","144,9247","169,5563","87,04007","59,94482","48,88065","60,87185","160,5535","96,12553","157,4962","70,31729","26,8434","54,07601","27,74696","268,7109","172,0848","105,6039","78,53897","75,14105","24,81426","66,9798","120,6609","26,70794","113,9618","146,1601","172,9163","85,30423","105,8978","106,8965","94,35226","96,23852","83,04341","87,46199","59,30921","66,30715","98,33437","63,96555","134,2553","66,21898","103,5032","58,90089","121,6851","123,6595","89,39848","78,55763","140,1294","41,9344","61,08133","38,65556","108,553"
"CATANDUVA, SP","70,79297","132,7503","121,9924","212,7189","19,71478","212,4296","55,34215","77,25085","152,4399",,"12,93807","40,17554","110,8296","185,53","195,786","15,00906","21,7605","175,7873","163,1336","32,94894","132,2048","132,2072","154,196","45,67424","184,5285","28,74775","90,76241","187,6563","68,23551","48,35675","21,8576","68,16216","190,2972","375,1268","109,442","167,9072","141,3242","21,59385","207,4477","63,37373","151,9171","214,9696","176,2134","65,99812","76,87677","121,1982","86,99134","76,1934","121,3856","87,45631","56,25231","221,8042","75,49322","16,32108","45,33833","67,27853","112,4877","192,5579","95,3034","18,19968","202,6356","24,07777","203,2669","142,1768","130,0857","153,8079","117,7705","32,04841","100,0491","95,89267","178,873","129,8941","209,8488","43,22419","147,4923","236,6417","59,54318","21,04502","219,971","234,0222","227,9428","213,6907","222,6337","204,1753","199,0046","168,2055","159,3119","55,4028","112,1056","19,71137","90,4402","223,3475","197,2663","77,50715","28,95243","100,1668","200,2188","34,20776","140,2243","188,6577","130,3784","112,5912"
